Product_ID,Product Name,Company,Listing Price,Sale Price,Rating,Discount %,value,Description
CU0675-300,Nike Air Max 90,Nike,140,98,5.0,30,28.0,"Redesigned for casual wear, the Nike Air Max 90 stays true to its '90s running roots with a rubber Waffle sole, stitched overlays and TPU plates. Hair-on leather and felted fabric colours combine with Max Air cushioning for a makeover that goes all out."
618919-031,Nike Benassi JDI Floral,Nike,30,24,4.1,20,7.0,"The Nike Benassi JDI Floral Women's Slide is designed with a textured footbed and a lightweight foam midsole/outsole for a soothing, plush feel."
BQ8927-102,Nike Epic React Flyknit 2,Nike,130,104,4.2,20,31.0,"The Nike Epic React Flyknit 2 takes a step up from its predecessor with smooth, lightweight performance and a bold look. An updated Flyknit upper contours to your foot with a minimal, supportive design. Underfoot, durable Nike React technology defies the odds by being both soft and responsive, for comfort that lasts as long as you can run."
921826-016,Nike Air Max 97,Nike,170,119,4.3,30,40.0,"The Nike Air Max 97 Men's Shoe keeps the sneaker favourite going strong with the same design details that made it famous: water-ripple lines, reflective piping and full-length Max Air cushioning."
CK3314-400,Nike x Olivia Kim Air Force 1 '07,Nike,100,100,5.0,0,20.0,"Olivia Kim remembers NYC in the '90s. The city danced at all-night raves, and the fashion was bomb dot com. The Nike x Olivia Kim AF-1 '07 captures the outrageous '90s rave spirit with a blue corduroy upper and glow-in-the-dark details."
BQ3378-002,Nike M2K Tekno,Nike,90,72,3.0,20,30.0,The Nike M2K Tekno Shoe draws inspiration from the Monarch franchise and pushes it into today with a futuristic heel counter and plush tongue for additional comfort.
BV7754-001,Nike React City,Nike,140,98,3.561158724717176,30,39.0,"Designed for the fast pace of urban life, the Nike React City provides an all-day solution for runners who commute. A zipped upper with no laces gets you in quickly, while the translucent details fit in at work or social events."
BV0415-300,Nike Epic Phantom React Flyknit,Nike,130,78,4.9,40,27.0,"Soft to the touch, the Nike Epic Phantom React Flyknit is lace-free for a slip-on design that gets you up and out the door in no time. A snug, sock-like fit and breathable upper materials will make you feel as though the Phantom ""disappears"" as you run."
AR5149-005,Air Jordan 11 Low,Nike,170,136,3.561158724717176,20,48.0,"Since bursting onto the basketball scene in 1996, the Air Jordan 11 has been one of the most beloved Jordan designs ever. To celebrate the championship mentality, the Air Jordan 11 Low Women's Shoe features signature details and Nike Air cushioning for the ultimate fusion of style and comfort."
CQ7619-700,Nike Daybreak,Nike,100,100,3.561158724717176,0,28.0,"Find throwback style and history etched into every detail. Following in the footsteps of the OG from '79, the marathon-winning Nike Daybreak is a blast from the past. Its iconic Waffle outsole combines with fabric in the upper and archival colourways for a heritage look."
AQ4174-049,Nike Mercurial Superfly 7 Elite FG,Nike,230,230,4.3,0,53.0,"Building on the 360 innovation of the 6, the Nike Mercurial Superfly 7 Elite FG Boot adds a Nike Aerowtrac zone to the forefoot and a slightly stiffer chassis to help supercharge traction."
AJ1285-101,Nike Air Max 90 Essential,Nike,90,90,4.0,0,22.0,The Nike Air Max 90 Essential Men's Shoe keeps the classic design lines of the 1990 original and the cushioning that made it famous.
AV6259-500,Nike Air Zoom Pegasus 36 Premium Rise,Nike,110,66,5.0,40,22.0,"Breathability and inspiration come together in the Nike Air Zoom Pegasus 36 Premium Rise. A knit-in graphic repeating across the mesh and synthetic upper spells out ""Just Do It."" in perforations. Strategically placed, they cover zones where your foot releases the most heat."
AT5292-004,Nike Tiempo Legend 8 Academy MG,Nike,65,45,2.0,30,32.0,The Nike Tiempo Legend 8 Academy MG takes the legendary touch of calfskin leather and adds a versatile multi-ground plate for traction on natural- and artificial-grass surfaces.
812654-011,Nike Tanjun,Nike,48,34,4.2,30,11.0,"Named after the Japanese word for ""simplicity"", the Nike Tanjun Men's Shoe offers a streamlined, modern design for an elevated everyday look."
CT5543-300,Nike Air Max Triax 96 SP,Nike,130,130,4.0,0,32.0,"First released in the late '90s, the Nike Air Max Triax 96 SP now returns as a cult classic. Featuring the same iconic shape and large-volume visible Air unit, it brings back the classic comfort and style you remember."
CU9174-600,Nike Air Max 2090,Nike,140,140,5.0,0,28.0,"Bring the past into the future with the Nike Air Max 2090, a bold look inspired by the DNA of the iconic Air Max 90. Brand-new Nike Air cushioning underfoot adds unparalleled comfort while transparent mesh and vibrantly coloured details on the upper are blended with timeless OG features for an edgy, modernised look."
CJ0509-001,Nike Zoom Rival Fly 2,Nike,80,80,3.561158724717176,0,22.0,"Inspired by Japan's relay runners, the Nike Zoom Rival Fly 2 features a futuristic look with responsive forefoot cushioning. Flex grooves underneath optimise toe-off, while soft foam keeps it cushioned and comfortable throughout your stride."
CK3312-001,Nike x Olivia Kim Air Mowabb,Nike,160,112,3.561158724717176,30,45.0,"Celebrate the '90s, the great outdoors and getting your feet in what you never thought you could. The Nike x Olivia Kim Air Mowabb comes from the desire of Olivia to celebrate the most iconic shoes and trends of the '90s while making them accessible to women. The legendary design epitomises the sneaker hero with its comfortable Air-Sole, perfect utilisation of Huarache technology and first-of-its-kind speckled midsole. Soft accents come in desert hues, reminding you to get out, breathe the fresh air and celebrate your journey."
CT0624-100,Nike Offcourt SE,Nike,30,30,3.561158724717176,0,8.0,The Nike Offcourt SE Slide features a premium suede upper with a modern Swoosh detail. The innovative foam and jersey lining ensure an effortlessly comfortable experience.
CJ9712-001,Nike Zoom Pegasus Turbo Shield,Nike,180,126,4.5,30,40.0,"The Nike Zoom Pegasus Turbo Shield delivers your favourite lightweight running shoe in a smart, weatherised design, so you can continue training in confidence despite those dark and rainy months."
CT1549-001,Nike Air Max 97,Nike,160,96,3.561158724717176,40,45.0,"Featuring the same ripple design of the OG that was inspired by Japanese bullet trains, the Nike Air Max 97 lets you push your style full-speed ahead. Taking the revolutionary full-length Nike Air unit that shook up the running world and adding fresh python print and reflective details, it lets you ride in first-class comfort."
CD0683-600,Nike Air Max 720 SE,Nike,160,160,3.0,0,53.0,"The Nike Air Max 720 goes bigger than ever before with Nike's tallest Air unit yet, which offers more air underfoot for unprecedented, all-day comfort. Details include bubble wrap accents and colours inspired by the natural world."
BQ3212-600,Nike Revolution 5 FlyEase,Nike,37,37,4.5,0,8.0,"Designed with a zip closure secured by a midfoot strap, the Nike Revolution 5 FlyEase lets you suit up for your run quickly and easily. Soft foam cushions your stride, while a minimalist design fits in just about anywhere."
807471-101,Nike Classic Cortez,Nike,70,70,4.5,0,16.0,"The Nike Classic Cortez Women's Shoe is Nike's original running shoe, designed by Bill Bowerman and released in 1972. This version features a leather and synthetic leather construction for added durability."
